"","generation","minFitness","maxFitness","meanFitness","medianFitness"
"1",1,0,5268,2016.2,1601
"2",2,0,10652,4645,5023
"3",3,0,9136,1116.4,0
"4",4,0,12004,3876.4,1057
"5",5,0,12432,4441,1915
"6",6,0,10400,4267.2,5355
"7",7,0,7054,2219.6,294
"8",8,0,10400,4189.6,4394
"9",9,0,10400,2721.8,912
"10",10,0,10400,3500.4,302
"11",11,0,10400,3305.6,542
"12",12,0,10400,3986.6,1799
"13",13,0,10400,2675,567
"14",14,0,10400,2169,6
"15",15,0,11142,4027,373
"16",16,0,17382,5434,5579
"17",17,0,17382,4788,1449
"18",18,0,16600,5766.8,534
"19",19,0,18130,5734.2,498
"20",20,0,17382,6481.8,836
"21",21,0,16600,6201.8,5803
"22",22,0,17382,3504.8,0
"23",23,0,18130,11690.2,16991
"24",24,0,18130,8873,10400
"25",25,0,18130,8609.8,6711
"26",26,0,18130,10652.8,16991
"27",27,0,18130,8376,6353
"28",28,0,18130,6853,3400
"29",29,0,18130,7383,7272
"30",30,0,18130,7073.2,3664
"31",31,0,18130,6256.8,1787
"32",32,0,18130,6662.8,1267
"33",33,0,18130,10405.8,13500
"34",34,0,18130,12472,16991
"35",35,0,17382,8521.6,8714
"36",36,0,18130,10508.6,16600
"37",37,0,18130,10507.2,13339
"38",38,0,18130,6616.4,5
"39",39,0,17382,11089,12105
"40",40,0,12136,4367,2382
"41",41,0,17382,4828.8,436
"42",42,0,17382,4597.4,18
"43",43,0,18130,9628.8,11246
"44",44,0,18130,11911,14678
"45",45,0,18130,5676.8,1084
"46",46,0,18130,7509.2,3575
"47",47,0,16600,2958.4,0
"48",48,0,18130,12414.6,16600
"49",49,0,18130,6296.6,1653
"50",50,0,18130,4004.8,0
"51",51,0,18130,10419,16600
"52",52,0,18130,7696.4,4126
"53",53,0,18130,9153.4,10646
"54",54,0,18130,5776.2,265
"55",55,0,18130,10589.4,16600
"56",56,0,16600,8988,8801
"57",57,0,18130,6825,2869
"58",58,0,18130,4491,12
"59",59,0,18130,9175.8,9968
"60",60,0,18130,5918,1423
"61",61,0,17382,4638.2,2835
"62",62,0,17382,11962.8,16600
"63",63,0,18130,7154.2,2911
"64",64,0,18130,11739.6,16290
"65",65,0,16600,7365.8,5969
"66",66,0,11492,3400.2,1208
"67",67,0,12050,2774,0
"68",68,0,18130,2918,121
"69",69,0,18130,7544.8,4784
"70",70,0,18130,10783.2,14771
"71",71,0,18130,7304.8,4667
"72",72,0,18130,8906.4,9020
"73",73,0,18130,8588.8,4772
"74",74,0,18130,13610.6,16600
"75",75,0,17382,6447,5137
"76",76,0,18130,10287.2,13500
"77",77,0,18130,9878.6,11700
"78",78,0,18130,6785,1164
"79",79,0,18130,9875.4,13213
"80",80,0,18130,10859.6,13882
"81",81,0,18130,6758.4,1511
"82",82,0,18130,5556,2608
"83",83,0,17382,8006,7335
"84",84,0,18130,10246.6,12710
"85",85,0,17206,6142.4,2063
"86",86,0,18130,7282.4,4382
"87",87,0,18130,10019.6,11475
"88",88,0,18130,6118,350
"89",89,0,18130,6569.8,0
"90",90,0,18130,11467.4,15298
"91",91,0,18130,9356.6,11297
"92",92,0,18130,8427.8,6800
"93",93,0,18130,4029,262
"94",94,0,18130,6805.2,4530
"95",95,0,18130,5081.6,2479
"96",96,0,18130,10655.4,16600
"97",97,0,17382,8661.8,9090
"98",98,0,18130,6287.6,3864
"99",99,0,18130,8925.4,9112
"100",100,0,18130,4206.8,33
