"","generation","minFitness","maxFitness","meanFitness","medianFitness"
"1",1,0,9608,4320.4,4742
"2",2,0,10470,2905.6,335
"3",3,0,11798,4450.8,3731
"4",4,0,12352,4366.8,1727
"5",5,0,12292,7883.2,10002
"6",6,0,10392,3613.6,979
"7",7,0,13376,3444.6,0
"8",8,0,6952,2147.4,36
"9",9,0,14024,5360.2,3501
"10",10,0,11680,2883.2,140
"11",11,0,15770,4285,0
"12",12,0,11702,3499,503
"13",13,0,9824,2433.6,77
"14",14,0,11832,4218.4,1810
"15",15,0,8520,2864.6,1327
"16",16,0,11844,2807.6,440
"17",17,0,12342,3677.2,1506
"18",18,0,13482,2793,0
"19",19,0,7670,2826.2,1160
"20",20,0,11838,2628.2,0
"21",21,0,12648,2317,1
"22",22,0,9034,2022.4,0
"23",23,0,13590,3707.6,2948
"24",24,0,10464,2260,45
"25",25,0,10586,4497,2549
"26",26,0,11224,4854.4,3900
"27",27,0,11928,3832.2,2530
"28",28,0,10622,3297,0
"29",29,0,12628,4729.4,3933
"30",30,0,8058,3907.4,3517
"31",31,0,6124,640.4,0
"32",32,0,10774,4675.4,4999
"33",33,0,14492,3873,1187
"34",34,0,12304,3923.8,2191
"35",35,0,15292,2922,0
"36",36,0,10480,1525,123
"37",37,0,13432,4015.2,1811
"38",38,0,10268,3052,1672
"39",39,0,12170,4357.2,1061
"40",40,0,11726,3901,692
"41",41,0,10798,4572.4,4451
"42",42,0,11282,2213.4,580
"43",43,0,10654,2935.8,694
"44",44,0,9220,1805.4,325
"45",45,0,13172,5158.6,4687
"46",46,0,11138,3124,233
"47",47,0,13000,4634.8,4617
"48",48,0,9920,2756.6,509
"49",49,0,10500,2756.4,1518
"50",50,0,11082,3945,2566
"51",51,0,10738,3614.4,2428
"52",52,0,7760,2404,415
"53",53,0,7874,3196.8,2974
"54",54,0,11342,2462.8,0
"55",55,0,10176,1972.2,0
"56",56,0,4786,729.6,0
"57",57,0,8966,3429.4,2442
"58",58,0,3804,887.8,28
"59",59,0,12486,3121.4,309
"60",60,0,10698,5073.2,5661
"61",61,0,16912,3974.6,377
"62",62,0,10920,3124.4,1131
"63",63,0,8972,2697.2,1318
"64",64,0,11892,3139.6,1536
"65",65,0,12478,3179.4,1356
"66",66,0,10284,4134.8,3140
"67",67,0,9818,3114.6,988
"68",68,0,12282,4392.6,2763
"69",69,0,13152,5467.6,4569
"70",70,0,13226,5372.6,4315
"71",71,0,10252,4074.6,3518
"72",72,0,8416,850.8,0
"73",73,0,5144,1832.6,350
"74",74,0,6210,1448,0
"75",75,0,12290,2986.4,762
"76",76,0,7606,1764,561
"77",77,0,10400,3526.4,1981
"78",78,0,10400,3434.6,856
"79",79,0,10400,5294.4,6586
"80",80,0,538,105.8,0
"81",81,0,10400,3435,1432
"82",82,0,12198,5819.4,6800
"83",83,0,7740,2921.4,987
"84",84,0,10400,2760,0
"85",85,0,10400,3141.2,306
"86",86,0,6800,2418.8,300
"87",87,0,10400,3776.2,1245
"88",88,0,10400,5947,6800
"89",89,0,10400,4199.4,3797
"90",90,0,10400,4837.4,4511
"91",91,0,10400,4658.8,3942
"92",92,0,10400,3249,235
"93",93,0,10400,2593.6,6
"94",94,0,10400,4253.6,4150
"95",95,0,10400,3094.8,1090
"96",96,0,11502,3430,1867
"97",97,0,10400,4223.6,3579
"98",98,0,10400,2912.6,923
"99",99,22,10400,3635.8,857
"100",100,0,10400,3616.2,2504
