"","generation","minFitness","maxFitness","meanFitness","medianFitness"
"1",1,0,9108,3342.4,1149
"2",2,0,10236,1574.4,0
"3",3,0,12240,2661.2,8
"4",4,0,10488,2330,739
"5",5,0,12632,6075,6641
"6",6,0,11254,2900.4,8
"7",7,0,9986,5599.8,7816
"8",8,0,13072,3527.6,1314
"9",9,0,13326,6395.8,7010
"10",10,0,8156,2888.4,299
"11",11,0,11180,2955.2,1522
"12",12,0,15062,5222.4,4643
"13",13,0,15884,3682,0
"14",14,0,13822,3284,672
"15",15,0,16140,5210.4,4254
"16",16,0,8352,2600.6,955
"17",17,0,14266,7083.2,10318
"18",18,0,13178,3641.2,373
"19",19,0,11906,3041.4,296
"20",20,0,12700,2638.8,950
"21",21,0,13160,3024.8,412
"22",22,0,12398,7561,8473
"23",23,0,11060,2835.2,714
"24",24,0,12260,4631.8,2596
"25",25,0,6792,1428.4,0
"26",26,0,6800,1733.6,614
"27",27,0,10400,4578.2,4090
"28",28,0,10400,3952.8,764
"29",29,0,10400,4936.4,3882
"30",30,0,10400,4098,890
"31",31,0,10400,3681,1205
"32",32,0,10400,3470.4,136
"33",33,0,10400,2221.6,0
"34",34,0,10400,2634.4,600
"35",35,0,10400,5129.6,6800
"36",36,0,10400,1163.4,0
"37",37,0,10400,5160,6800
"38",38,0,13964,4836.4,3400
"39",39,0,12524,5521,4793
"40",40,0,11110,4536.6,1228
"41",41,0,10400,2312.2,301
"42",42,0,10400,4426.4,4932
"43",43,0,11070,3421.8,343
"44",44,0,12904,3885.8,750
"45",45,0,10400,4322.8,3949
"46",46,0,10400,6099.4,8600
"47",47,0,10400,1347,0
"48",48,0,10400,3886.2,431
"49",49,0,10400,2918.6,301
"50",50,0,6800,2863,715
"51",51,0,10400,2614.8,600
"52",52,0,10400,3499.4,297
"53",53,0,10400,2760,0
"54",54,0,10400,2131,778
"55",55,0,10400,4124.2,950
"56",56,0,6800,1026.4,300
"57",57,0,10400,4123.4,3417
"58",58,0,10400,5580,6800
"59",59,0,7824,2089.2,790
"60",60,0,10754,1569.6,0
"61",61,0,8270,2119,672
"62",62,0,13698,6019.2,6791
"63",63,0,13004,4314,1174
"64",64,0,13794,6081.8,5707
"65",65,0,14154,6241.2,7501
"66",66,0,16600,7671.8,8213
"67",67,0,18130,7861.4,7363
"68",68,0,17382,8115.6,9258
"69",69,0,9828,2756.4,918
"70",70,0,9988,2361.2,1069
"71",71,0,17030,6598.2,7168
"72",72,0,10400,2669.6,1
"73",73,0,10408,6654.4,6800
"74",74,0,10400,3346.6,1482
"75",75,0,10400,5403.8,6800
"76",76,0,10400,3028.2,0
"77",77,0,10400,3790.4,1148
"78",78,0,10400,4624.2,5912
"79",79,0,11574,2137.6,359
"80",80,0,14382,3590,1802
"81",81,0,10400,3587.6,416
"82",82,0,9490,2236,542
"83",83,0,10400,3922.2,611
"84",84,0,6800,1698.2,0
"85",85,0,6800,714.2,0
"86",86,0,10400,4784.6,4437
"87",87,0,16600,4813.2,1121
"88",88,0,18130,4747,319
"89",89,0,18130,8863.4,9587
"90",90,0,18130,8533.4,8311
"91",91,0,18130,7106.8,3481
"92",92,0,18130,10335.2,13355
"93",93,0,17382,5035.6,0
"94",94,0,18130,10620.2,13500
"95",95,0,18130,9095,9215
"96",96,0,17382,8160,6103
"97",97,0,18130,10097.8,12497
"98",98,0,18130,10396,16463
"99",99,0,17382,9150.2,12160
"100",100,0,18130,8214.8,8600
"101",101,0,17382,10260.8,13642
"102",102,0,18130,8449.2,8324
"103",103,0,16600,4954.6,1227
"104",104,0,18130,7723.4,6499
"105",105,0,17382,5209,1954
"106",106,0,18130,11054,14007
"107",107,0,16600,3669.4,790
"108",108,0,18130,6415,2245
"109",109,0,18130,5727.2,143
"110",110,0,18130,10499.4,11812
"111",111,0,18130,8645,7774
"112",112,0,18130,3721.6,40
"113",113,0,13500,2859.4,12
"114",114,0,14328,6840.4,7922
"115",115,0,13190,2842.2,3
"116",116,0,14492,7478.2,7908
"117",117,0,16186,8171,8692
"118",118,0,15520,4721.8,307
"119",119,0,13978,5910,3583
"120",120,0,12128,3385.4,431
"121",121,0,18130,7945,10286
"122",122,0,16600,2917.6,464
"123",123,0,16600,6152.4,400
"124",124,0,18130,7456.2,3400
"125",125,0,18130,6193.4,3842
"126",126,0,16600,6736.6,2298
"127",127,0,18130,7352,3796
"128",128,0,17382,6654.4,3260
"129",129,0,18130,10646.2,15774
"130",130,0,18130,5757.8,2228
"131",131,0,18130,7034.2,3407
"132",132,0,18130,9841.4,10800
"133",133,0,18130,10262.6,11700
"134",134,0,18130,9296.2,11700
"135",135,0,18130,7771.2,2970
"136",136,0,17382,5268.8,369
"137",137,0,18130,8758.4,8443
"138",138,644,18130,11655.2,16600
"139",139,0,18130,11737.4,16600
"140",140,0,18130,7364.2,1326
"141",141,0,18130,7419.6,4462
"142",142,0,18130,10171.4,14092
"143",143,0,18130,13573.2,16600
"144",144,0,18130,9400,10266
"145",145,0,15918,3613.4,2740
"146",146,0,18130,13174.6,16983
"147",147,0,18130,8342.6,8492
"148",148,0,16860,8313,8291
"149",149,0,18130,4996.2,1712
"150",150,0,16202,4602.6,0
"151",151,0,17500,10110.6,16600
"152",152,0,18130,9494.8,13509
"153",153,0,18130,8353,7562
"154",154,0,18130,10265.8,16599
"155",155,0,13562,4106,0
"156",156,0,13686,4669,1632
"157",157,0,17382,4218.4,5
"158",158,0,16020,4043.4,502
"159",159,0,18130,7372.6,3400
"160",160,0,18130,5311.4,0
"161",161,0,18130,8637.6,7693
"162",162,0,18130,8239.6,7772
"163",163,0,18130,9462.4,10990
"164",164,0,17382,4456,1319
"165",165,0,18130,6532.2,2356
"166",166,0,17382,5543.8,1646
"167",167,0,18130,11049.2,12474
"168",168,0,18130,7335.4,4211
"169",169,0,18130,9734,13175
"170",170,0,18130,8007.2,6446
"171",171,0,16600,6318.2,5490
"172",172,0,18130,5271.2,3168
"173",173,6498,18130,13918.6,16600
"174",174,0,18130,9734.8,9762
"175",175,0,18130,7777,7625
"176",176,0,16600,7113.4,6521
"177",177,0,11388,5104.8,4795
"178",178,2218,14368,7893.6,6711
"179",179,0,18130,4982.2,1867
"180",180,0,10880,3181.6,1861
"181",181,0,10400,5915.2,7479
"182",182,0,10400,2109.4,0
"183",183,0,11418,1776.2,0
"184",184,0,7916,2542.2,319
"185",185,0,8408,4136.8,4726
"186",186,0,16600,6548.8,4930
"187",187,0,10802,5116.6,6583
"188",188,0,18130,4235.4,1873
"189",189,0,17382,6176,4091
"190",190,0,16600,2265.8,0
"191",191,0,16600,2674.2,0
"192",192,0,18130,8943.8,9881
"193",193,0,16854,8930.8,11056
"194",194,0,18130,7004.8,1059
"195",195,0,18130,6141.6,1584
"196",196,0,17382,10540.4,11926
"197",197,0,16600,6920,6546
"198",198,0,16738,3890.6,0
"199",199,0,17382,11272.8,15663
"200",200,0,18130,9685.6,9954
"201",201,0,16834,7799,4666
"202",202,0,16600,5748.4,3217
"203",203,0,18130,7490.2,4602
"204",204,0,17382,9557.8,9953
"205",205,0,17382,9803.2,15425
"206",206,0,18130,5254,957
"207",207,0,18130,5497.6,36
"208",208,0,17382,5840,4711
"209",209,0,18130,11784.8,16600
"210",210,0,18130,10444.2,12935
"211",211,0,18130,8354.2,6259
"212",212,0,18130,8214.2,8163
"213",213,0,18130,8500.8,7263
"214",214,0,18130,6786.2,5200
"215",215,0,18130,7842.6,7583
"216",216,0,16600,6799.4,5319
