"","generation","minFitness","maxFitness","meanFitness","medianFitness"
"1",1,804,4658,1872.6,1262
"2",2,798,4472,1667.8,1041
"3",3,784,3088,1534.6,1433
"4",4,648,3868,1590.2,1205
"5",5,736,5932,2713.4,1518
"6",6,584,7410,2122.6,1490
"7",7,664,4340,2124.8,2061
"8",8,588,4806,1546.4,1146
"9",9,768,4610,1663,1412
"10",10,656,5146,1839,1448
"11",11,836,8742,2802.2,1482
"12",12,680,8966,3186.8,1406
"13",13,652,2602,1525.4,1546
"14",14,862,4776,1798.4,1593
"15",15,716,8174,2624,1541
"16",16,996,10492,3517.4,2126
"17",17,808,2512,1520.2,1396
"18",18,726,5030,2057.6,1571
"19",19,548,5874,2200.4,1459
"20",20,694,5988,2265.8,1137
"21",21,708,5764,2528,2372
"22",22,518,7506,3259.8,2323
"23",23,636,4886,1629.8,1180
"24",24,882,7940,2633,2234
"25",25,714,7236,2304.6,1408
"26",26,604,3952,1736.4,1221
"27",27,630,7272,3040.4,2129
"28",28,648,7282,2937.6,2031
"29",29,1000,6548,2972.2,2386
"30",30,632,8714,2632.6,2147
"31",31,556,6772,2059.4,900
"32",32,628,6884,2263,1417
"33",33,858,2826,1694.8,1707
"34",34,598,10824,2528.6,1642
"35",35,692,5214,1708.6,1343
"36",36,768,3716,1844,1594
"37",37,610,4486,1520.4,1289
"38",38,542,6096,2814.2,1639
"39",39,794,4154,1923.8,1225
"40",40,906,6444,2860.4,1507
"41",41,756,6658,2570.6,1579
"42",42,604,8902,2284,1540
"43",43,762,7904,2322.6,1514
"44",44,1576,7162,3961.2,3640
"45",45,876,7414,3847.8,3880
"46",46,1424,9408,4228,3719
"47",47,874,9240,3232.2,1677
"48",48,996,8210,3625.8,2808
"49",49,1464,9490,4506.2,4322
"50",50,712,8912,4656.2,4594
"51",51,686,8820,3292.6,2191
"52",52,1608,9408,6390.2,7639
"53",53,790,9100,4441.6,3675
"54",54,2132,8658,5571.2,5627
"55",55,1196,9260,4216.6,3110
"56",56,972,8840,3967.6,2705
"57",57,646,13418,3821.4,2217
"58",58,718,9130,4414.2,4132
"59",59,820,8748,4883,4930
"60",60,1884,9316,5667.2,4883
"61",61,872,9126,3789.8,3791
"62",62,1006,8826,4208,4269
"63",63,1438,12984,7812.8,8812
"64",64,758,8324,3928.6,3565
"65",65,644,11104,6377.4,6896
"66",66,912,9782,5367,5130
"67",67,608,12728,4861.6,4614
"68",68,754,9198,4482.2,4405
"69",69,938,8832,4855.2,5268
"70",70,1798,8250,5134,4822
"71",71,614,7000,2790.2,1890
"72",72,764,7540,2240,1347
"73",73,886,5108,3219.6,3079
"74",74,986,8496,2950.8,2352
"75",75,524,5460,2507.4,2088
"76",76,590,3288,2078.4,2542
"77",77,864,6024,2709.2,1464
"78",78,528,5198,2415.2,2182
"79",79,644,2966,1564,1461
"80",80,644,8640,3630.4,3290
