"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X1.1","X2.1","X3.1","X4.1","X5.1","X6.1","X7.1","X8.1","X9.1","X10.1"
"1",1,1,1,1,1,1,1,1,1,1,25,41,66,104,146,146,104,66,41,25
"2",1,NA,NA,NA,NA,NA,1,NA,1,1,22,34,51,73,91,91,73,51,34,22
"3",1,1,NA,NA,NA,NA,NA,NA,NA,1,17,25,36,48,56,56,48,36,25,17
"4",1,NA,NA,NA,NA,NA,1,NA,NA,1,13,18,24,30,34,34,30,24,18,13
"5",1,NA,NA,NA,NA,NA,NA,NA,NA,1,9,12,16,19,21,21,19,16,12,9
"6",1,NA,NA,NA,NA,NA,NA,NA,NA,1,6,8,10,12,13,13,12,10,8,6
"7",1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,5,6,7,8,8,7,6,5,4
"8",1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,4,4,5,5,4,4,3,3
"9",1,NA,NA,NA,0,1,NA,NA,NA,1,2,2,2,3,3,3,3,2,2,2
"10",1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1
