"","X1","X2","X3","X4","X1.1","X2.1","X3.1","X4.1"
"1",1,1,1,1,104,146,146,104
"2",1,NA,NA,1,73,91,91,73
"3",1,NA,NA,1,48,56,56,48
"4",1,NA,NA,1,30,34,34,30
"5",1,NA,NA,1,19,21,21,19
"6",1,NA,NA,1,12,13,13,12
"7",1,NA,NA,1,7,8,8,7
"8",1,NA,NA,1,4,5,5,4
"9",1,NA,NA,1,3,3,3,3
"10",1,NA,NA,1,2,2,2,2
"11",1,1,NA,1,1,1,1,1
"12",1,1,NA,1,1,1,1,1
"13",1,NA,NA,1,0,0,0,0
"14",1,NA,1,1,0,0,0,0
"15",1,NA,1,1,0,0,0,0
"16",1,1,NA,1,0,0,0,0
"17",1,NA,NA,1,0,0,0,0
"18",1,NA,1,1,0,0,0,0
"19",1,NA,NA,1,0,0,0,0
"20",1,NA,NA,1,0,0,0,0
"21",1,NA,NA,1,0,0,0,0
"22",1,NA,NA,1,0,0,0,0
"23",1,NA,NA,1,0,0,0,0
"24",1,0,NA,1,0,0,0,0
"25",1,1,1,1,0,0,0,0
