"","generation","minFitness","maxFitness","meanFitness","medianFitness"
"1",1,0,16704,3679,716
"2",2,0,18198,5614.2,4783
"3",3,0,12046,6586.2,8618
"4",4,0,14968,6421.8,6498
"5",5,0,14914,7176.2,7892
"6",6,0,14720,5744.4,3414
"7",7,0,15030,10118.6666666667,11518
"8",8,0,14870,7066.5,7976
"9",9,0,13888,5484.4,3993
"10",10,0,13914,4942.44444444444,3174
"11",11,0,14668,8572.4,9903
"12",12,0,14550,3859.8,385
"13",13,0,10514,4114.2,1511
"14",14,0,12632,3532,1978
"15",15,0,11208,3998.25,3086
"16",16,0,12752,6123.77777777778,6632
"17",17,0,16580,5903.14285714286,4016
"18",18,0,16456,6620,7604
"19",19,0,15154,4664.44444444444,3018
"20",20,0,15194,6074.28571428571,5984
"21",21,0,15030,3543,878
"22",22,0,14410,4015.33333333333,2698
"23",23,1802,14686,9727.14285714286,10546
"24",24,1442,15632,6665.5,5565
"25",25,0,13588,7652.44444444444,9332
"26",26,0,10628,2935.71428571429,96
"27",27,0,14388,4574.22222222222,4168
"28",28,0,16704,6600.5,5729
"29",29,0,17388,6370.75,3843
"30",30,0,16704,5262.28571428571,20
"31",31,0,16704,4002.5,0
"32",32,0,14410,5444.44444444444,1600
"33",33,0,16704,8450,9220
"34",34,0,16704,7402.66666666667,9292
"35",35,0,16704,7812.85714285714,7230
"36",36,0,18198,9102.66666666667,10312
"37",37,1272,18198,11399.3333333333,12539
"38",38,0,18198,7486.75,5871
"39",39,8368,18198,12497.7142857143,11630
"40",40,866,18198,8766.5,8400
"41",41,0,16704,11474.8571428571,14878
"42",42,0,18198,8163.14285714286,6012
"43",43,0,18198,11178,14472
"44",44,0,18198,10697.3333333333,14338
"45",45,0,18198,13950.5714285714,15466
"46",46,0,16704,9103.33333333333,9806
"47",47,20,18198,11779.3333333333,17046
"48",48,0,18198,8366.85714285714,10504
"49",49,6868,18198,14534,16704
"50",50,0,17388,10060.5,13604
"51",51,0,18198,9253.77777777778,6868
"52",52,0,17388,2695.11111111111,0
"53",53,490,18198,12184,13604
"54",54,0,18198,7746.28571428571,3322
"55",55,0,18198,8591.33333333333,6868
"56",56,0,18198,11610.3333333333,13604
"57",57,0,18198,10156.2857142857,16704
"58",58,0,17388,9359.71428571429,12188
"59",59,0,18198,3994.75,49
"60",60,2580,18198,13328.8,16704
"61",61,0,18198,12948.5714285714,16704
"62",62,16704,18198,17737.2,18198
"63",63,10504,18198,16031.7142857143,16704
"64",64,0,18198,8353.11111111111,6868
"65",65,16704,18198,17539.7142857143,17388
"66",66,3762,18198,15166.2857142857,16704
"67",67,0,17388,8627.5,8770
"68",68,1434,17388,11666,13604
"69",69,6852,18198,15809,17451
"70",70,0,18198,9423.75,10803
"71",71,80,18198,13747.1428571429,17022
"72",72,0,18198,14181.4285714286,16704
"73",73,0,18198,9265.5,10170
"74",74,1830,18198,15646.2857142857,18198
"75",75,1600,18198,11944.2857142857,11474
"76",76,16,18198,8848.66666666667,9034
"77",77,0,18198,9619.75,8678
"78",78,0,18198,7605.5,3935
"79",79,6868,18198,15471.2,17388
"80",80,6868,18198,14407.6666666667,16704
"81",81,0,18198,7340.75,2066
"82",82,16704,18198,17565,17793
"83",83,0,18198,8189.75,6272
"84",84,116,17388,12735.6666666667,17046
"85",85,1600,18198,13982,16704
"86",86,0,18198,7925.25,5151
"87",87,10504,18198,16666.6666666667,18198
"88",88,0,18198,7171.55555555556,4132
"89",89,10504,18198,15341.4285714286,16704
"90",90,16704,18198,17575.2,17388
"91",91,1600,18198,14134.3333333333,17451
"92",92,30,18198,13481.6666666667,16704
"93",93,0,18198,8876,8389
"94",94,14394,18198,17325.4285714286,18198
"95",95,0,18198,12476.2857142857,16704
"96",96,610,18198,11521.3333333333,15261
"97",97,16704,18198,17373.6666666667,17219
"98",98,106,18198,10910,12413
"99",99,2580,18198,15540,18198
"100",100,998,18198,12095.3333333333,16704
