"","generation","minFitness","maxFitness","meanFitness","medianFitness"
"1",1,606,1600,1037,847
"2",2,1104,5052,1939.8,1600
"3",3,886,4258,1705.45454545455,1600
"4",4,662,5720,2102.4,1274
"5",5,962,7382,3207.4,2568
"6",6,800,8340,3066.4,1920
"7",7,618,5360,2355,1110
"8",8,702,6008,2014.6,1318
"9",9,726,6826,2073.2,1243
"10",10,782,5474,2745.4,1943
"11",11,1046,5560,2459.8,1392
"12",12,922,5736,1829.8,1501
"13",13,990,6412,3189.6,3052
"14",14,568,6590,2890.4,2142
"15",15,518,5866,2921.2,2673
"16",16,1600,7392,4608.2,4489
"17",17,606,6756,4441.8,4545
"18",18,1230,6578,4550,4629
"19",19,1014,6224,4672.22222222222,5018
"20",20,2220,7490,5015,4833
"21",21,2438,7190,4935.77777777778,5544
"22",22,410,6202,4365.6,4952
"23",23,2194,7064,4647.77777777778,4294
"24",24,890,7426,3841.11111111111,3852
"25",25,1136,7184,4158.2,4343
"26",26,3054,8480,5467.55555555556,5504
"27",27,1268,6662,4591,4818
"28",28,766,6998,4358.4,5241
"29",29,1740,6850,4899.33333333333,5524
"30",30,3950,6658,5525.42857142857,5674
"31",31,3212,6470,5209.75,5439
"32",32,3964,6754,5199.75,5335
"33",33,3712,6842,5532.85714285714,5620
"34",34,688,6534,4887,5591
"35",35,2696,6122,4830.85714285714,5024
"36",36,658,5922,4598.66666666667,5080
"37",37,1600,6484,5016.88888888889,5508
"38",38,3612,7776,5345.55555555556,5198
"39",39,2628,7302,5436,5702
"40",40,3090,7430,4851.11111111111,4896
"41",41,3808,5730,4980.28571428571,5226
"42",42,878,7278,4760.5,4795
"43",43,1424,7278,5346,5484
"44",44,4994,7278,6547.14285714286,7278
"45",45,3970,7278,6663.63636363636,7278
"46",46,2724,7278,6864,7278
"47",47,7278,7350,7294,7278
"48",48,7278,7302,7280.66666666667,7278
"49",49,3182,7278,6584.44444444444,7188
"50",50,6254,7302,7077.33333333333,7278
"51",51,1572,7302,6050.66666666667,7278
"52",52,6456,7278,6958.88888888889,7174
"53",53,4144,7302,6591.55555555556,7130
"54",54,7078,7302,7222,7278
"55",55,4244,7706,6978.4,7278
"56",56,5746,8760,7398.5,7290
"57",57,6566,9302,8038.2,8760
"58",58,6772,8760,8119,8760
"59",59,926,8760,7755.2,8760
"60",60,8572,8760,8744.33333333333,8760
"61",61,696,9226,8285.125,8760
"62",62,8624,8948,8763.25,8760
"63",63,8760,8760,8760,8760
"64",64,8760,8760,8760,8760
"65",65,8760,8760,8760,8760
"66",66,8760,9226,8795.84615384615,8760
"67",67,8760,8822,8766.88888888889,8760
"68",68,8760,8760,8760,8760
"69",69,8760,8928,8771.2,8760
"70",70,8760,8948,8783.5,8760
"71",71,8760,9226,8850.66666666667,8760
"72",72,6268,8760,8448.5,8760
"73",73,7490,9258,8700.61538461538,8760
"74",74,8182,9226,8797.6,9014
"75",75,1970,9226,6932.75,7380
"76",76,1040,8850,5630.57142857143,5842
"77",77,3606,8334,6693,7155
"78",78,5268,9138,7888.33333333333,8429
"79",79,3752,9138,6819.66666666667,6938
"80",80,7364,9138,8305,8251
"81",81,6172,8760,7578.66666666667,7550
"82",82,6438,9110,8025.33333333333,8597
"83",83,948,8948,7076,8760
"84",84,7928,8760,8562.4,8760
"85",85,5472,8762,8356,8760
"86",86,6558,8760,8501.28571428571,8760
"87",87,1600,8760,8172.5,8760
"88",88,5698,8760,8568.625,8760
"89",89,7186,8760,8619.6,8760
"90",90,8662,8760,8754.84210526316,8760
"91",91,8760,8760,8760,8760
"92",92,8760,8760,8760,8760
"93",93,8760,8760,8760,8760
"94",94,8760,8760,8760,8760
"95",95,8760,8760,8760,8760
"96",96,8760,8760,8760,8760
"97",97,5764,8760,8660.13333333333,8760
"98",98,8760,8760,8760,8760
"99",99,8760,8760,8760,8760
"100",100,8760,9110,8780.8275862069,8760
